n,s,time_in_milliseconds
4096,4,314
4096,4,223
4096,4,208
4096,4,248
4096,4,256
4096,4,293
4096,4,199
4096,4,261
4096,4,282
4096,4,253
4096,4,285
4096,4,909
4096,4,235
4096,4,212
4096,4,207
4096,4,182
4096,4,198
4096,4,181
4096,4,220
4096,4,186
4096,4,169
4096,4,238
4096,4,220
4096,4,361
4096,4,175
4096,4,172
4096,4,186
4096,4,203
4096,4,179
4096,4,340
4096,4,170
4096,4,216
4096,4,233
4096,4,339
4096,4,583
4096,4,445
4096,4,365
4096,4,297
4096,4,181
4096,4,188
4096,4,440
4096,4,347
4096,4,337
4096,4,196
4096,4,414
4096,4,1847
4096,4,288
4096,4,386
4096,4,474
4096,4,493
4096,4,785
4096,4,242
4096,4,177
4096,4,182
4096,4,486
4096,4,473
4096,4,201
4096,4,261
4096,4,207
4096,4,203
4096,4,201
4096,4,182
4096,4,210
4096,4,183
4096,4,214
4096,4,233
4096,4,393
4096,4,312
4096,4,1395
4096,4,340
4096,4,361
4096,4,364
4096,4,623
4096,4,231
4096,4,319
4096,4,208
4096,8,117
4096,8,134
4096,8,236
4096,8,106
4096,8,704
4096,8,172
4096,8,299
4096,8,296
4096,8,115
4096,8,464
4096,8,358
4096,8,193
4096,8,598
4096,8,329
4096,8,115
4096,8,110
4096,8,244
4096,8,108
4096,8,255
4096,8,256
4096,8,303
4096,8,198
4096,8,207
4096,8,106
4096,8,130
4096,8,118
4096,8,176
4096,8,321
4096,8,152
4096,8,123
4096,8,112
4096,8,162
4096,8,113
4096,8,258
4096,8,263
4096,8,113
4096,8,181
4096,8,113
4096,8,181
4096,8,108
4096,8,116
4096,8,200
4096,8,147
4096,8,231
4096,8,143
4096,8,122
4096,8,130
4096,8,110
4096,8,393
4096,8,141
4096,8,306
4096,8,125
4096,8,120
4096,8,162
4096,8,171
4096,8,327
4096,8,237
4096,8,404
4096,8,263
4096,8,178
4096,8,131
4096,8,183
4096,8,123
4096,8,121
4096,8,135
4096,8,128
4096,8,251
4096,8,117
4096,8,108
4096,8,128
4096,8,117
4096,8,104
4096,8,111
4096,8,108
4096,8,109
4096,8,114
4096,8,119
4096,8,247
4096,8,122
4096,8,256
4096,8,117
4096,8,107
4096,8,358
4096,8,570
4096,8,211
4096,8,118
4096,8,163
4096,8,185
4096,8,191
4096,8,400
4096,8,148
4096,8,208
4096,8,692
4096,8,130
4096,8,302
4096,8,113
4096,8,118
4096,8,359
4096,8,362
4096,8,107
4096,16,128
4096,16,125
4096,16,139
4096,16,133
4096,16,153
4096,16,190
4096,16,130
4096,16,121
4096,16,121
4096,16,124
4096,16,123
4096,16,159
4096,16,146
4096,16,143
4096,16,270
4096,16,187
4096,16,849
4096,16,167
4096,16,144
4096,16,133
4096,16,222
4096,16,216
4096,16,169
4096,16,135
4096,16,161
4096,16,152
4096,16,151
4096,16,230
4096,16,149
4096,16,150
4096,16,151
4096,16,149
4096,16,159
4096,16,757
4096,16,547
4096,16,335
4096,16,134
4096,16,384
4096,16,154
4096,16,142
4096,16,130
4096,16,159
4096,16,170
4096,16,169
4096,16,606
4096,16,270
4096,16,154
4096,16,134
4096,16,182
4096,16,192
4096,16,149
4096,16,157
4096,16,144
4096,16,144
4096,16,137
4096,16,132
4096,16,141
4096,16,322
4096,16,132
4096,16,160
4096,16,142
4096,16,714
4096,16,157
4096,16,137
4096,16,142
4096,16,135
4096,16,215
4096,16,152
4096,16,258
4096,16,135
4096,16,191
4096,16,532
4096,16,151
4096,16,219
4096,16,139
4096,16,604
4096,16,353
4096,16,126
4096,16,121
4096,16,130
4096,16,121
4096,16,122
4096,16,122
4096,16,131
4096,16,123
4096,16,121
4096,16,161
4096,16,120
4096,16,128
4096,16,124
4096,16,123
4096,16,176
4096,16,121
4096,16,122
4096,16,127
4096,16,129
4096,16,131
4096,16,143
4096,16,134
4096,16,134
4096,32,124
4096,32,165
4096,32,112
4096,32,111
4096,32,110
4096,32,121
4096,32,144
4096,32,147
4096,32,302
4096,32,111
4096,32,119
4096,32,118
4096,32,150
4096,32,118
4096,32,238
4096,32,118
4096,32,123
4096,32,122
4096,32,200
4096,32,113
4096,32,132
4096,32,141
4096,32,134
4096,32,129
4096,32,113
4096,32,140
4096,32,110
4096,32,113
4096,32,132
4096,32,116
4096,32,120
4096,32,129
4096,32,248
4096,32,110
4096,32,114
4096,32,112
4096,32,120
4096,32,110
4096,32,133
4096,32,136
4096,32,112
4096,32,123
4096,32,145
4096,32,109
4096,32,113
4096,32,111
4096,32,116
4096,32,246
4096,32,127
4096,32,150
4096,32,162
4096,32,109
4096,32,116
4096,32,150
4096,32,117
4096,32,116
4096,32,253
4096,32,137
4096,32,122
4096,32,247
4096,32,119
4096,32,149
4096,32,126
4096,32,121
4096,32,111
4096,32,114
4096,32,145
4096,32,110
4096,32,119
4096,32,141
4096,32,119
4096,32,110
4096,32,115
4096,32,112
4096,32,113
4096,32,110
4096,32,111
4096,32,122
4096,32,114
4096,32,110
4096,32,110
4096,32,112
4096,32,113
4096,32,126
4096,32,309
4096,32,167
4096,32,115
4096,32,116
4096,32,245
4096,32,963
4096,32,265
4096,32,324
4096,32,112
4096,32,252
4096,32,197
4096,32,218
4096,32,132
4096,32,139
4096,32,118
4096,32,178
4096,64,122
4096,64,117
4096,64,133
4096,64,120
4096,64,117
4096,64,191
4096,64,149
4096,64,138
4096,64,119
4096,64,126
4096,64,129
4096,64,119
4096,64,119
4096,64,152
4096,64,122
4096,64,138
4096,64,127
4096,64,121
4096,64,137
